"title","address_city","address_community","address_county","address_state","address_street","address_street_number","date_collected","issuer_type","heated_water","heating","water_access","building_material","roof_material","fence","floors","rooms","bathroom_count","has_basement","has_balcony","year_built","location_latitude","location_longitude","price","price_currency","price_per_meter"
"Warszawski Zachodni, Leszno",Leszno,Leszno,warszawski zachodni,mazowieckie,,,2022-05-05 15:46:52.128 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,GAS_HEATING,WATER_SUPPLY,WOOD,,WOODEN,,5,2,,,2009,52.23281,20.52605,2375000.0,PLN,13194.444444444445
Dom na sprzedaż,Czyżew,Czyżew,wysokomazowiecki,podlaskie,,,2022-05-06 09:37:08.496 +0200,REAL_ESTATE_AGENCY,,,,BLOCK,,OTHER,,12,,,,2005,52.79637849,22.33408928,1990000.0,PLN,2211.1111111111113
"żarski, Przewóz, Pałac Sobolice, Sobolice",Sobolice,Przewóz,żarski,lubuskie,,,2022-05-03 06:50:23.484 +0200,,,,,,,,,24,,,,,51.4806,14.9542,2500000.0,PLN,1329.0802764486975
"Buski, Stopnica, Bosowice",Bosowice,Stopnica,buski,świętokrzyskie,,,2022-05-10 14:35:34.374 +0200,REAL_ESTATE_AGENCY,OTHER_HEATING,TILED_STOVE,WELL,BRICK,,,,12,,true,true,1840,50.5258,20.8838,2999999.0,PLN,5628.515947467167
"Buski, Stopnica, Bosowice",Bosowice,Stopnica,buski,świętokrzyskie,,,2022-05-10 14:18:09.761 +0200,REAL_ESTATE_AGENCY,OTHER_HEATING,TILED_STOVE,WELL,BRICK,,,,12,,true,true,1840,50.5258,20.8838,2999999.0,PLN,4687.4984375
Dom na sprzedaż,Drawsko Pomorskie,Drawsko Pomorskie,drawski,zachodniopomorskie,,,2022-05-13 04:17:16.190 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,,,20,,,,1860,53.5310786,15.8134179,990000.0,PLN,876.8821966341895
Imponujący pałac k. Leszna-INWESTYCJA-ulga-OKAZJA,Góra,Góra,górowski,dolnośląskie,,,2022-05-07 06:03:17.276 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,ROOFING_FELT,MESH,,10,,true,,1890,51.66739,16.54273,1990000.0,PLN,1105.5555555555557
Dom na sprzedaż,Zborów,Żelazków,kaliski,wielkopolskie,,,2022-05-11 16:28:07.373 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,,,10,,,,1945,51.8539548,18.173209,9500000.0,PLN,4750.0
Odrestaurowany Dworek z parkiem w ok. Kalisza!,Żelazków,Żelazków,kaliski,wielkopolskie,,,2022-05-13 15:38:05.178 +0200,REAL_ESTATE_AGENCY,,OTHER_HEATING,WATER_SUPPLY,,,OTHER,,10,,true,,1945,51.8533,18.1804,9500000.0,PLN,4871.794871794872
"Kamieński (Pow.), Wolin (Gm.), Piaski Wielkie",Piaski Wielkie,Wolin,kamieński,zachodniopomorskie,,,2022-05-10 12:11:22.051 +0200,,MUNICIPAL,BOILER_ROOM,WATER_SUPPLY,BRICK,,NONE,,25,16,true,true,1932,53.8537,14.7041,1190000.0,PLN,858.5858585858585
"Kamieński (Pow.), Wolin (Gm.), Piaski Wielkie,  15",Piaski Wielkie,Wolin,kamieński,zachodniopomorskie,,,2022-05-10 12:11:37.279 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,BOILER_ROOM,WATER_SUPPLY,BRICK,,NONE,,25,16,true,true,1932,53.8537,14.7041,1190000.0,PLN,725.609756097561
"kłodzki, Kłodzko, Piszkowice, 56 Piszkowice",Piszkowice,Kłodzko,kłodzki,dolnośląskie,,,2022-05-12 21:07:31.261 +0200,,OTHER_HEATING,BOILER_ROOM,WATER_SUPPLY,,,OTHER,,27,,,true,1722,50.4692,16.5901,7650000.0,PLN,4500.0
"kłodzki, Kłodzko, Piszkowice, 56 Piszkowice 56",Kłodzko,Kłodzko m,kłodzki,dolnośląskie,,,2022-05-12 20:45:38.596 +0200,,,BOILER_ROOM,WATER_SUPPLY,,,OTHER,,27,,,true,1426,50.4692,16.5901,6940000.0,PLN,4082.3529411764707
"koszaliński, Manowo, Kopanino",Kopanino,Manowo,koszaliński,zachodniopomorskie,,,2022-05-13 14:23:45.967 +0200,,,,,,,,,16,,,,,54.0917,16.3214,1550000.0,PLN,2440.9448818897636
Przedwojenny dworek na sprzedaż pod Kwidzynem,Nowy Dwór,Kwidzyn,kwidzyński,pomorskie,,,2022-05-07 02:18:39.771 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,CERAMIC_TILE,,,6,,,,,53.71289,18.85856,595000.0,PLN,2173.119065010957
Dom na sprzedaż,Gostkowo,Główczyce,słupski,pomorskie,,,2022-05-11 14:18:08.825 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,OTHER,,,,,,,54.55866,17.45281,1990000.0,PLN,1047.3684210526317
Dworek ze stawem 50km od Gdańska na sprzedaż,Pelplin,Pelplin,tczewski,pomorskie,,,2022-05-09 00:07:25.359 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,MESH,,10,,true,,1890,53.92579,18.72438,1000000.0,PLN,1256.992018100685
Wyjątkowa rezydencja blisko Warszawy | 3ha działki,Janówek,Wierzbno,węgrowski,mazowieckie,,,2022-05-11 11:37:42.134 +0200,REAL_ESTATE_AGENCY,,,,,,,,10,,,,1992,52.28765,21.81044,4200000.0,PLN,11481.683980317113
Dom na sprzedaż,Osieki Lęborskie,Choczewo,wejherowski,pomorskie,,,2022-05-09 02:04:07.704 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,OTHER,,,,,,1960,54.7716299,17.8936049,7900000.0,PLN,12.287228747760302
"kujawsko-pomorskie, włocławski, Brześć Kujawski, Wieniec-Zalesie, Sowia 31",Brześć Kujawski,Brześć Kujawski,włocławski,kujawsko-pomorskie,Sowia,,2022-05-07 12:37:03.130 +0200,REAL_ESTATE_AGENCY,,,,,,NONE,,4,,,,,52.66197638,18.94802392,4300000.0,PLN,7166.666666666667
"śląskie, Bielsko-Biała",Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie,,,2022-05-20 18:52:22.621 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,,,5,,,,2022,49.821877,19.047007,1499000.0,PLN,6068.825910931174
"Dwór 600m2+zabudowania 800m2+park 18.300m2, Zawada",Bochnia,Bochnia m,bocheński,małopolskie,,,2022-05-16 08:10:35.577 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,MESH,,6,,,,1832,49.96922,20.42885,3699000.0,PLN,6165.0
PAŁAC nad jeziorem-Mielno k.Gniezna-NOWA CENA-ULGA,Bydgoszcz,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,,,2022-05-14 15:06:33.862 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,MESH,,10,,true,,1900,53.1342,17.99035,2600000.0,PLN,1130.4347826086957
Dom na sprzedaż,Marzewo,Pasłęk,elbląski,warmińsko-mazurskie,,,2022-05-19 16:14:52.866 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,,,12,,,,1853,53.9644557,19.6943844,7500000.0,PLN,7684.426229508197
"warmińsko-mazurskie, ełcki, Ełk",Ełk,Ełk m,ełcki,warmińsko-mazurskie,,,2022-05-18 14:19:40.791 +0200,PRIVATE,,,WATER_SUPPLY,BRICK,,MIXED,,,,true,,,53.825364,22.363372,1150000.0,PLN,2300.0
"Dom na sprzedaż: warmińsko-mazurskie, ełcki, Ełk",Ełk,Ełk m,ełcki,warmińsko-mazurskie,,,2022-05-19 00:11:47.613 +0200,PRIVATE,OTHER_HEATING,,WATER_SUPPLY,BRICK,,MIXED,,,,true,,,53.825364,22.363372,1150000.0,PLN,4791.666666666667
"warmińsko-mazurskie, ełcki, Ełk",Ełk,Ełk m,ełcki,warmińsko-mazurskie,,,2022-05-18 13:50:51.832 +0200,,OTHER_HEATING,,WATER_SUPPLY,BRICK,,MIXED,,,,true,,,53.825364,22.363372,1250000.0,PLN,5208.333333333333
"Pałac-Dwór XIX w. Zespół Pałacowo Parkowy, Zabyt.",Skoraszewice,Pępowo,gostyński,wielkopolskie,,,2022-05-15 16:35:21.525 +0200,PRIVATE,,,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,10,,true,,1908,51.73396,17.06452,1480000.0,PLN,1850.0
Dom na sprzedaż,Grodzisk Mazowiecki,Grodzisk Mazowiecki,grodziski,mazowieckie,,,2022-05-20 16:11:17.417 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,MESH,,4,,,,1876,52.1044383,20.6350923,1799000.0,PLN,9868.348875479978
"Kielecki, Bodzentyn, Święta Katarzyna",Święta Katarzyna,Bodzentyn,kielecki,świętokrzyskie,,,2022-05-16 18:16:49.047 +0200,REAL_ESTATE_AGENCY,OTHER_HEATING,,WATER_SUPPLY,BLOCK,CERAMIC_TILE,OTHER,,9,8,true,true,2019,50.9063,20.8807,4000000.0,PLN,7938.082952966859
"Lipnowski, Kikół",Kikół,Kikół,lipnowski,kujawsko-pomorskie,,,2022-05-14 00:41:30.817 +0200,REAL_ESTATE_AGENCY,,,,,,OTHER,,4,,true,,,52.9092,19.1198,479000.0,PLN,2661.1111111111113
"Lubelski, Borzechów, Majdan Skrzyniecki",Majdan Skrzyniecki,Borzechów,lubelski,lubelskie,,,2022-05-20 12:25:28.142 +0200,,GAS_HEATING,,WATER_SUPPLY,WOOD,,,,4,2,,,2018,51.09837474,22.23594189,869000.0,PLN,8690.0
"Myślenicki, Dobczyce, Brzączowice",Brzączowice,Dobczyce,myślenicki,małopolskie,,,2022-05-18 20:59:43.312 +0200,REAL_ESTATE_AGENCY,ELECTRIC_HEATING,BOILER_ROOM,WATER_SUPPLY,,CERAMIC_TILE,OTHER,,4,,,,2015,49.87464,20.03014,750000.0,PLN,4411.764705882353
"Piaseczyński, Piaseczno, Zalesie Górne",Zalesie Górne,Piaseczno,piaseczyński,mazowieckie,,,2022-05-18 23:16:06.834 +0200,REAL_ESTATE_AGENCY,GAS_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,,,7,2,,,2004,52.0274,21.0367,1330000.0,PLN,5018.867924528302
Sprzedam Dom 'Dworek' 550m2,Szymocin,Grębocice,polkowicki,dolnośląskie,,,2022-05-15 13:07:33.954 +0200,PRIVATE,,,WATER_SUPPLY,,CERAMIC_TILE,,,10,,true,,1890,51.59609519175992,16.236742199263936,400000.0,PLN,727.2727272727273
"Pruszkowski, Pruszków, Komorów",Komorów,Michałowice,pruszkowski,mazowieckie,,,2022-05-18 23:35:30.361 +0200,REAL_ESTATE_AGENCY,,,,,,,,,,,,,52.1446983,20.8156334,9990000.0,PLN,23341.1214953271
Dworek Komorów,Komorów,Wieniawa,przysuski,mazowieckie,,,2022-05-18 23:47:08.856 +0200,REAL_ESTATE_AGENCY,,,,,,,,,,,,,,,9990000.0,PLN,23341.1214953271
Posiadłość z linią brzegową jeziora!,Godziszewo,Skarszewy,starogardzki,pomorskie,Nad Jeziorem,,2022-05-18 14:25:51.639 +0200,REAL_ESTATE_AGENCY,,,,,,,,10,,true,,2000,54.0925,18.5384,2050000.0,PLN,3416.6666666666665
"Dworek, ul. Skrzyneckiego",Warszawa,Warszawa,Warszawa,mazowieckie,Skrzyneckiego,,2022-05-19 18:52:24.794 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,11,,true,,1993,52.1962166,21.1782251,5000000.0,PLN,5000.0
Dom na sprzedaż,Włocławek,Włocławek m,Włocławek,kujawsko-pomorskie,,,2022-05-20 16:10:54.310 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,MESH,,5,,,,,52.60714,19.0225911,890000.0,PLN,4139.53488372093
Dom na sprzedaż,Chodecz,Chodecz,włocławski,kujawsko-pomorskie,,,2022-05-20 02:16:27.018 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,OTHER,,4,,,,1900,52.40523,19.02746,1060000.0,PLN,2639.836628978433
Pałac w Obiszowie Gmina Grębocice,Wrocław,Wrocław,Wrocław,dolnośląskie,,,2022-05-17 09:34:57.059 +0200,REAL_ESTATE_AGENCY,,,,BRICK,CERAMIC_TILE,,,10,,,,1800,51.10195,17.03667,350000.0,PLN,291.6666666666667
Dworek Bosowice,Bosowice,Stopnica,buski,świętokrzyskie,,,2022-05-26 17:59:23.473 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,10,,,,1840,50.5257833,20.8838482,3300000.0,PLN,2200.0
Sprzedam Dworek Staropolski 330m2 + 110m2,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,,,2022-05-23 14:14:52.302 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,OTHER,,7,,,,2005,52.72918,15.24028,999000.0,PLN,2775.0
"Kętrzyński (Pow.), Barciany (Gm.), Barciany, Wiosenna",Barciany,Barciany,kętrzyński,warmińsko-mazurskie,Wiosenna,,2022-05-27 11:25:27.204 +0200,,,,,,,,,20,,,,,54.2131,21.3481,9000000.0,PLN,701.2076353720296
"Kętrzyński (Pow.), Barciany (Gm.), Barciany, Wiosenna",Barciany,Barciany,kętrzyński,warmińsko-mazurskie,Wiosenna,,2022-05-27 11:34:08.037 +0200,REAL_ESTATE_AGENCY,,,,,,,,20,,,,,54.2131,21.3481,9000000.0,PLN,300.0
"Lubelski, Niemce, Boduszyn",Boduszyn,Niemce,lubelski,lubelskie,,,2022-05-24 13:05:14.253 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,BOILER_ROOM,WATER_SUPPLY,BRICK,,,,10,3,true,true,1903,51.32886,22.64141,7900000.0,PLN,15674.603174603175
"Myszkowski, Żarki, Przybynów",Przybynów,Żarki,myszkowski,śląskie,,,2022-05-23 17:46:42.738 +0200,REAL_ESTATE_AGENCY,,OTHER_HEATING,,BRICK,,NONE,,1,,,,,50.66011,19.31134,1190000.0,PLN,752.212389380531
"Nowosądecki, Piwniczna-Zdrój, Szczawnicka",Piwniczna-Zdrój,Piwniczna-Zdrój,nowosądecki,małopolskie,Szczawnicka,,2022-05-27 12:25:44.880 +0200,,,BOILER_ROOM,,WOOD,,NONE,,23,2,true,true,1936,49.4369,20.68876,490000.0,PLN,1225.0
Dom na sprzedaż,Kołbiel,Kołbiel,otwocki,mazowieckie,,,2022-05-24 12:09:04.871 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,OTHER,,6,,,,2002,52.0646474,21.4836639,1350000.0,PLN,4090.909090909091
"Dom, 353 m2, Sobiekursk",Sobiekursk,Karczew,otwocki,mazowieckie,,,2022-05-26 06:31:14.538 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,,BRICK,CERAMIC_TILE,,,8,,,,1990,52.02411,21.2884,3800000.0,PLN,10764.87252124646
"Dom, 170 m2, Swarzędz",Swarzędz,Swarzędz,poznański,wielkopolskie,,,2022-05-21 11:02:57.560 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,5,,true,,,52.409371895432,17.085777601368,1320000.0,PLN,7764.705882352941
Dochodowy apartamentowiec Jastzębia Góra,Jastrzębia Góra,Władysławowo,pucki,pomorskie,Jałowcowa,,2022-05-27 16:10:15.564 +0200,REAL_ESTATE_AGENCY,,,,,,,,10,,,,2018,54.82978,18.31487,7500000.0,PLN,8720.93023255814
"Rawski, Rawa Mazowiecka",Rawa Mazowiecka,Rawa Mazowiecka m,rawski,łódzkie,,,2022-05-23 15:07:15.872 +0200,PRIVATE,OTHER_HEATING,TILED_STOVE,WELL,BRICK,,,,34,37,,,2008,51.76303,20.25241,4950000.0,PLN,2291.6666666666665
Dom na sprzedaż,Wirów,Jabłonna Lacka,sokołowski,mazowieckie,,,2022-05-26 16:11:55.924 +0200,REAL_ESTATE_AGENCY,,,,OTHER,,,,14,,,,1,52.42384,22.51532,2995000.0,PLN,1361.3636363636363
Dom na sprzedaż,Podrzewie,Duszniki,szamotulski,wielkopolskie,,,2022-05-26 00:09:20.955 +0200,REAL_ESTATE_AGENCY,,,,OTHER,,,,20,,,,1910,52.49592,16.38859,2350000.0,PLN,2350.0
Dom na sprzedaż,Tczew,Tczew m,tczewski,pomorskie,,,2022-05-23 14:17:51.388 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BLOCK,,OTHER,,4,,,,2007,54.08799,18.79975,1290000.0,PLN,5817.3618940248025
Siedlisko wiejskie. Gospodarstwo,Gołańcz,Gołańcz,wągrowiecki,wielkopolskie,,,2022-05-22 18:08:46.499 +0200,PRIVATE,,,,BRICK,CERAMIC_TILE,,,7,,true,,,52.94562,17.30363,390000.0,PLN,1444.4444444444443
Dom na sprzedaż,Marianów,Leszno,warszawski zachodni,mazowieckie,,,2022-05-24 12:08:42.188 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,OTHER,,9,,,,1999,52.264715,20.5613956,2300000.0,PLN,6571.428571428572
"Zgorzelecki, Sławnikowice",Sławnikowice,Zgorzelec,zgorzelecki,dolnośląskie,,,2022-05-26 11:35:27.731 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,14,,true,,,51.1803004,15.1735773,5600000.0,PLN,5199.628597957289
"Zgorzelecki, Sławnikowice",Sławnikowice,Zgorzelec,zgorzelecki,dolnośląskie,,,2022-05-25 18:03:57.000 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,14,,,,,51.1803004,15.1735773,5600000.0,PLN,4056.501267656646
"Bielsko-Biała M., Bielsko-Biała, Lipnik",Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie,,,2022-06-02 18:05:54.195 +0200,,MUNICIPAL,OTHER_HEATING,WATER_SUPPLY,BRICK,OTHER,METAL,,4,,true,true,1995,,,1390000.0,PLN,11880.34188034188
"Bielsko-Biała M., Bielsko-Biała, Lipnik",Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie,,,2022-06-02 18:05:46.469 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,OTHER_HEATING,WATER_SUPPLY,BRICK,OTHER,METAL,,4,,true,true,1995,,,1390000.0,PLN,9520.547945205479
"Grodziski, Grodzisk Mazowiecki",Grodzisk Mazowiecki,Grodzisk Mazowiecki,grodziski,mazowieckie,,,2022-06-03 16:02:16.273 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,GAS_HEATING,WATER_SUPPLY,BLOCK,CERAMIC_TILE,,,5,3,true,,2006,52.1005063,20.6108968,1890000.0,PLN,9130.434782608696
Dom na sprzedaż,Strzepowo,Będzino,koszaliński,zachodniopomorskie,,,2022-05-28 22:08:12.402 +0200,REAL_ESTATE_AGENCY,,,,OTHER,,OTHER,,30,,,,,54.1747938,15.8837795,500000.0,PLN,166.66666666666666
Prosperujący Biznes * HOTEL + RESTAURACJA *,Przytoczna,Przytoczna,międzyrzecki,lubuskie,,,2022-05-28 13:07:47.899 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,BRICK,,,,8,,,,,52.57702,15.67899,1980000.0,PLN,2475.0
Dom na sprzedaż,Prażmów,Prażmów,piaseczyński,mazowieckie,,,2022-06-02 12:12:55.540 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,OTHER,,10,,,,1850,51.9404193,20.956762,1650000.0,PLN,2291.6666666666665
"Piaseczyński, Prażmów",Prażmów,Prażmów,piaseczyński,mazowieckie,,,2022-06-02 10:33:13.597 +0200,REAL_ESTATE_AGENCY,GAS_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,,,10,,,,1850,51.9402,20.9546,1890000.0,PLN,2625.0
Dworek,Konstancin-Jeziorna,Konstancin-Jeziorna,piaseczyński,mazowieckie,,,2022-06-01 04:49:22.703 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,10,,,,2000,52.0798135,21.110599,4999000.0,PLN,6943.055555555556
"Piaseczyński, Prażmów",Prażmów,Prażmów,piaseczyński,mazowieckie,,,2022-06-02 10:34:53.224 +0200,REAL_ESTATE_AGENCY,GAS_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,,,10,,,,1850,51.9402,20.9546,1890000.0,PLN,2779.4117647058824
Dom Z Linią Brzegową / Nowoczesny / Do Wprowadzeni,Barcin,Barcin,żniński,kujawsko-pomorskie,,,2022-06-03 19:07:57.951 +0200,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,OTHER,,5,,true,,2018,52.86611,17.94626,3490000.0,PLN,10405.175755046062
Sprzedam dom,Brodnica,Brodnica m,brodnicki,kujawsko-pomorskie,,,2022-06-07 13:35:31.621 +0200,PRIVATE,,,WATER_SUPPLY,BRICK,METAL_SHEET,,,8,,true,,1894,53.35750848742612,19.300625650024408,990000.0,PLN,3535.714285714286
"Buski, Stopnica, Bosowice",Bosowice,Stopnica,buski,świętokrzyskie,,,2022-06-06 12:08:09.464 +0200,,OTHER_HEATING,TILED_STOVE,WELL,BRICK,,,,12,1,true,true,1840,50.5258,20.8838,3399000.0,PLN,6377.110694183865
"Buski, Stopnica, Bosowice",Bosowice,Stopnica,buski,świętokrzyskie,,,2022-06-06 12:07:59.270 +0200,REAL_ESTATE_AGENCY,OTHER_HEATING,TILED_STOVE,WELL,BRICK,,,,12,1,true,true,1840,50.5258,20.8838,3399000.0,PLN,5310.9375
Dworek Przybysław,Przybysław,Krzęcin,choszczeński,zachodniopomorskie,,,2022-06-08 16:43:00.194 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,30,,,,1850,53.0332651,15.4543946,4500000.0,PLN,7500.0
"Gdański, Trąbki Wielkie, Sobowidz, Tadeusza Kościuszki",Sobowidz,Trąbki Wielkie,gdański,pomorskie,Gdański,,2022-06-06 12:25:35.345 +0200,,,,,,,,,9,,,,1870,54.14607,18.59886,330000.0,PLN,722.1006564551423
"Gdański, Trąbki Wielkie, Sobowidz, Tadeusza Kościuszki",Trąbki Wielkie,Trąbki Wielkie,gdański,pomorskie,Tadeusza Kościuszki,,2022-06-06 12:32:36.489 +0200,REAL_ESTATE_AGENCY,,,,,,,,9,,,,1870,54.14607,18.59886,330000.0,PLN,722.1006564551423
Zespół parkowo-pałacowy - pałac z oficyną !,Karkajmy,Orneta,lidzbarski,warmińsko-mazurskie,,,2022-06-07 17:34:16.466 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,,,1,,,,,54.09565,20.09485,1350000.0,PLN,1527.1493212669684
Nieruchomość pod inwestycję w Lubomierzu!,Lubomierz,Lubomierz,lwówecki,dolnośląskie,Majowa,,2022-06-06 13:33:01.133 +0200,REAL_ESTATE_AGENCY,,,,,,,,10,,,,,51.0132,15.50738,569000.0,PLN,335.9528603227273
Dom na sprzedaż,Czeczotki,Czosnów,nowodworski,mazowieckie,,,2022-06-06 12:10:26.553 +0200,REAL_ESTATE_AGENCY,,,,WOOD,,WOODEN,,3,,,,2007,52.3844444,20.6605556,850000.0,PLN,6746.0317460317465
Sprzedam stary dom z gruntem rolnym,Folwark,Prószków,opolski,opolskie,,,2022-06-08 18:34:12.694 +0200,PRIVATE,,,,,,,,4,,,,,50.62188,17.92336,270000.0,PLN,1500.0
"Ostródzki, Morąg, Ruś",Ruś,Morąg,ostródzki,warmińsko-mazurskie,,,2022-06-09 22:02:01.855 +0200,REAL_ESTATE_AGENCY,,BOILER_ROOM,,,,,,11,6,true,,1892,,,2800000.0,PLN,5090.909090909091
Dom na sprzedaż,Motarzyno,Dębnica Kaszubska,słupski,pomorskie,,,2022-06-04 14:39:42.922 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,OTHER,,50,,,,1868,54.32537464,17.33244324,4200000.0,PLN,3000.0
Pałac w Zaborowie,Zaborowo,Książ Wielkopolski,śremski,wielkopolskie,,,2022-06-07 12:34:27.749 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,,,10,,,,1890,52.09224,17.19706,1570000.0,PLN,1962.5
Zespół Pałacowo - Dworkowy,Góra,Śrem,śremski,wielkopolskie,,,2022-06-08 14:33:58.473 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,,,10,,true,,,52.12269,16.98232,6500000.0,PLN,3333.3333333333335
"Śremski, Książ Wielkopolski, Zaborowo",Zaborowo,Książ Wielkopolski,śremski,wielkopolskie,,,2022-06-07 13:05:04.123 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,,,10,,,,1890,52.09224,17.19706,1370000.0,PLN,1712.5
"Wągrowiecki (Pow.), Mieścisko (Gm.), Popowo Kościelne,  38",Popowo Kościelne,Mieścisko,wągrowiecki,wielkopolskie,,,2022-06-05 21:07:35.113 +0200,REAL_ESTATE_AGENCY,,,,,,,,10,,,,,52.7125,17.2658,2100000.0,PLN,3230.769230769231
"Oryginalny, ponadczasowy dom.",Kiełpin,Łomianki,warszawski zachodni,mazowieckie,Wiśniowa,,2022-06-08 09:34:23.722 +0200,REAL_ESTATE_AGENCY,,,,,,,,8,,true,,2012,52.35752,20.86964,4500000.0,PLN,11538.461538461539
Dom na sprzedaż,Malinówka Wielka,Ełk,ełcki,warmińsko-mazurskie,,,2022-06-14 13:49:52.733 +0200,REAL_ESTATE_AGENCY,,,,BRICK,,,,32,,,,1831,53.904625,22.3121906,7000000.0,PLN,8750.0
Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,,,2022-06-15 14:09:05.074 +0200,REAL_ESTATE_AGENCY,ELECTRIC_HEATING,,WATER_SUPPLY,BRICK,,MIXED,,9,3,,,1890,52.74005,15.23281,2800000.0,PLN,7387.862796833773
"Dom na sprzedaż: Grodziski, Grodzisk Mazowiecki, Mościska",Mościska,Grodzisk Mazowiecki,grodziski,mazowieckie,,,2022-06-12 11:04:43.721 +0200,REAL_ESTATE_AGENCY,MUNICIPAL,MUNICIPAL,WATER_SUPPLY,BLOCK,METAL_TILE,,,3,4,true,true,2022,52.0659661,20.6179447,3300000.0,PLN,14163.090128755364
Pałac-32 km Poznań-ULGA,Granówko,Granowo,grodziski,wielkopolskie,,,2022-06-17 06:06:45.559 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,10,,true,,1830,52.19929,16.54948,1500000.0,PLN,1200.0
Dworek Mościska,Mościska,Grodzisk Mazowiecki,grodziski,mazowieckie,,,2022-06-11 23:53:11.421 +0200,REAL_ESTATE_AGENCY,,MUNICIPAL,WATER_SUPPLY,,,,,5,,true,,2022,52.0659661,20.6179447,3300000.0,PLN,13200.0
!! Unikalna posiadłość nad rzeką-prywatna wyspa !!,Grabia,Sędziejowice,łaski,łódzkie,,,2022-06-12 13:33:07.729 +0200,PRIVATE,,,WATER_SUPPLY,BRICK,WOOD,,,8,,,,1811,51.52323390543302,18.998851280517574,600000.0,PLN,1818.1818181818182
Dwór-gm. Osieczna-Wlkp.-Leszno 18 km-ULGApodatkowa,Osieczna,Osieczna,leszczyński,wielkopolskie,,,2022-06-17 06:06:46.128 +0200,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,BRICK,,OTHER,,10,,true,,1890,51.90301,16.67053,750000.0,PLN,1071.4285714285713
"Lipnowski, Dobrzyń Nad Wisłą, Płomiany",Płomiany,Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,,,2022-06-17 08:25:39.074 +0200,,,,,BRICK,,,,6,,,,1900,52.67341,19.3138,249000.0,PLN,415.0
