"title","address_city","address_community","address_county","address_state","address_street","address_street_number","date_collected","issuer_type","heated_water","heating","water_access","building_material","roof_material","fence","floors","rooms","bathroom_count","has_basement","has_balcony","year_built","location_latitude","location_longitude","price","price_currency","price_per_meter"
"Lubliniecki, Ciasna, Panoszów",Panoszów,Ciasna,lubliniecki,śląskie,,,2022-01-07 16:33:12.684 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,,,,,1880,50.8135,18.6339,299000.0,PLN,622.9166666666666
"Międzychodzki, Sieraków",Sieraków,Sieraków,międzychodzki,wielkopolskie,,,2022-01-07 16:44:06.615 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,6,,,true,1890,52.65088,16.07973,1900000.0,PLN,4523.809523809524
"Miński, Dobre",Dobre,Dobre,miński,mazowieckie,,,2022-01-07 16:14:31.080 +0100,REAL_ESTATE_AGENCY,,OTHER_HEATING,,BRICK,CERAMIC_TILE,METAL,,5,1,true,true,1904,52.3209,21.6788,2240000.0,PLN,9739.130434782608
Dworek Kcynia,Kcynia,Kcynia,nakielski,kujawsko-pomorskie,,,2022-01-07 15:33:46.267 +0100,REAL_ESTATE_AGENCY,,,,,,,,20,,true,,1870,,,2200000.0,PLN,2200.0
"Dom na sprzedaż lub zamianę: Nakielski (Pow.), Mrocza (Gm.), Matyldzin",Matyldzin,Mrocza,nakielski,kujawsko-pomorskie,,,2022-01-07 12:17:48.205 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,,WATER_SUPPLY,BRICK,,NONE,,14,4,true,,1850,53.236,17.5313,1100000.0,PLN,2784.9511367664186
"Nidzicki, Kozłowo, Sarnowo",Sarnowo,Kozłowo,nidzicki,warmińsko-mazurskie,,,2022-01-07 16:42:51.439 +0100,REAL_ESTATE_AGENCY,,NONE,,,,NONE,,10,,,,,53.24597,20.26982,530000.0,PLN,1060.0
"nowosolski, Kożuchów, Drwalewice",Drwalewice,Kożuchów,nowosolski,lubuskie,,,2022-01-07 15:57:51.365 +0100,PRIVATE,,,,,,,,12,,,,,51.7454,15.5984,1330000.0,PLN,1852.367688022284
Dworek Stobnica,Stobnica,Oborniki,obornicki,wielkopolskie,,,2022-01-07 15:24:20.096 +0100,REAL_ESTATE_AGENCY,,,,,,,,18,,true,,1890,52.74216377,16.49511337,1990000.0,PLN,2211.1111111111113
"Oleśnicki, Dobroszyce, Nowosiedlice",Nowosiedlice,Dobroszyce,oleśnicki,dolnośląskie,,,2022-01-07 15:43:52.576 +0100,REAL_ESTATE_AGENCY,OTHER_HEATING,TILED_STOVE,WATER_SUPPLY,BRICK,OTHER,,,8,,true,,1890,51.2528,17.3611,259000.0,PLN,1295.0
Dworek Boksyce,Boksyce,Waśniów,ostrowiecki,świętokrzyskie,,,2022-01-07 15:24:35.109 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,11,,true,,1916,50.88214,21.26102,1800000.0,PLN,2769.230769230769
